Name,cell1_conduction_time,cell2_conduction_time,cell1_charge_time,cell2_charge_time
SA_BB,20,20,10,10
SA_OS,20,20,10,10
SA_RA,20,20,10,10
SA_CT,20,20,10,10
BB_LA,30,30,10,10
LA_LA1,40,40,10,10
RA_RA1,20,20,10,10
RA1_CS,20,20,10,10
CT_CT1,20,20,10,10
OS_Fast,20,20,10,10
Fast_Fast1,20,20,10,10
OS_Slow,30,30,10,10
Slow_Slow1,30,30,10,10
Fast1_AV,10,10,10,10
Slow1_AV,15,15,10,10
AV_His,30,30,10,10
His_His1,20,20,10,10
His1_His2,20,20,10,10
His2_LBB,20,20,10,10
LBB_LBB1,5,5,10,10
LBB1_LVA,5,5,10,10
His2_RBB,20,20,10,10
RBB_RBB1,5,5,10,10
RBB1_RVA,5,5,10,10
LVA_RVA,5,5,10,10
LVA_LV,20,20,10,10
LV_LV1,30,30,10,10
LVA_LVS,15,15,10,10
LVS_LVS1,15,15,10,10
LVS1_CSLV,20,20,10,10
RVA_RV,10,10,10,10
RV_RV1,20,20,10,10
RVA_RVS,15,15,10,10
RVS_RVS1,20,20,10,10
